Company/Candidate Name,Role,Skill,Sub-skill,Count
Entravision APAC,Client Partner - Pinterest,Business,advertising,2
Entravision APAC,Client Partner - Pinterest,WebD,client,2
Entravision APAC,Client Partner - Pinterest,Business,marketing,3
Entravision APAC,Client Partner - Pinterest,Soft_Skills,communication,1
Entravision APAC,Client Partner - Pinterest,Business,digital,2
Entravision APAC,Client Partner - Pinterest,Soft_Skills,creative,1
Ivoclar,Business Development Manager,Business,marketing,3
Ivoclar,Business Development Manager,Business,digital,1
Ivoclar,Business Development Manager,Marketing,market research,1
Ivoclar,Business Development Manager,Business,sales management,1
Ivoclar,Business Development Manager,Business,business development,1
Ivoclar,Business Development Manager,Soft_Skills,communication,1
Ivoclar,Business Development Manager,Soft_Skills,interpersonal skills,1
Ivoclar,Business Development Manager,Soft_Skills,organizational,1
Ivoclar,Business Development Manager,Soft_Skills,flexible,1
Hyphen Deux Co. Ltd.,RTL DESIGN ENGINEER,Soft_Skills,vietnamese,1
Hyphen Deux Co. Ltd.,RTL DESIGN ENGINEER,Business,digital,2
Hyphen Deux Co. Ltd.,RTL DESIGN ENGINEER,Soft_Skills,flexible,1
SID Global Solutions,Enterprise Sales Executive,Soft_Skills,customer focused,1
SID Global Solutions,Enterprise Sales Executive,Prod_mgmt.,customer focused,1
SID Global Solutions,Enterprise Sales Executive,Soft_Skills,documentation,2
SID Global Solutions,Enterprise Sales Executive,Soft_Skills,project management,1
PHILIA DX,UNREAL ENGINE ARTIST / CG Generalist,Soft_Skills,creative,1
PHILIA DX,UNREAL ENGINE ARTIST / CG Generalist,Business,digital,2
AFR Solutions,Salesforce Technical Manager,Business,marketing,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,project management,3
AFR Solutions,Salesforce Technical Manager,Business,strategies,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,leadership,3
AFR Solutions,Salesforce Technical Manager,Analytics,data analysis,1
AFR Solutions,Salesforce Technical Manager,Analytics,data driven,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,dashboards,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,time management,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,team management,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,communication,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,communication skills,1
AFR Solutions,Salesforce Technical Manager,Soft_Skills,problem solving,1
