,Company/Candidate Name,Role,Sub-skill,Count
0,2C2P,Partnerships Manager,"market research, business development, marketing, project management, communication",5
1,ABeam Consulting Vietnam,Business Development Manager (Korean),"vietnamese, digital, business development, client, strategies, marketing, english, communication, communication skills, analytical skills",13
2,ABeam Consulting Vietnam,SAP Service Delivery Manager,"vietnamese, digital, optimization, statistics, communication, presentation, analytical skills, interpersonal skills",11
3,ABeam Consulting Vietnam,SAP SuccessFactors Consultant/Senior Consultant,"vietnamese, digital, client, problem solving, communication, communication skills",9
4,ACB - Asia Commercial Bank,Data Lake Developer,"big data, hadoop, business strategy, predictive analytics, data analysis, python, r, java, scalar, spark, english, adaptability, aws, creative, process management",23
5,ACCA Careers,Manager/Senior Manager - Mergers & Acquisitions (M&A) - HCMC Office,"excel, strategies, marketing, communication, presentation, project management, communication skills, english, leadership",11
6,ACCA Careers,Tax Manager,"team leader, business development, english, vietnamese, time management, c",9
7,AFR Solutions,Salesforce Technical Manager,"marketing, project management, strategies, leadership, data analysis, data driven, dashboards, time management, team management, communication, communication skills, problem solving, team building",17
8,AIA Vietnam,Head of Health Provider Management,"digital, performance management, communication, customer focused, customer focused, stakeholder management, presentation, vietnamese, english",10
9,AIA Vietnam,"Legal Counsel, Lead","documentation, communication, presentation",3
10,AIRR Labs,Social Account Management,"strategies, communication, communication skills, problem solving, social media marketing, marketing, client, performance metrics, data driven, creative, digital, digital marketing, social media platforms, organizational, project management, presentation, interpersonal skills",32
11,AIRR Labs,Store Operations Associate (Ecom Enabler),"strategies, communication, communication skills, problem solving, creative, creative thinking, organized, digital, adaptability",18
12,AIT Worldwide Logistics,Ocean Export operation,"documentation, communication, communication skills, vietnamese, english, ms word, powerpoint, ms excel, excel",10
13,AIT Worldwide Logistics,Sales Manager,"client, strategies, english, vietnamese, communication, presentation, business development, interpersonal skills",9
14,AS White Global,Assistant Tax Accountant,"client, documentation, english, communication, communication skills",10
15,AS White Global,Business Analyst,"data analysis, business analysis, project management, communication, communication skills, analytical skills",6
16,AS White Global,Mid .NET Developer,"client, c, api, sql, html, css, javascript, react, angular, ui, software development, english, communication",19
17,AS White Global,Senior Integration Developer (Boomi),"documentation, api, data architecture, client, devops, itil, java, data structures, sql, databases, communication, communication skills, english",22
