Company/Candidate Name,Skill,Sub-skill
Entravision APAC,Business,advertising
Entravision APAC,WebD,client
Entravision APAC,Business,marketing
Entravision APAC,Soft_Skills,communication
Entravision APAC,Business,digital
Entravision APAC,Soft_Skills,creative
Ivoclar,Business,marketing
Ivoclar,Business,digital
Ivoclar,Marketing,market research
Ivoclar,Business,sales management
Ivoclar,Business,business development
Ivoclar,Soft_Skills,communication
Ivoclar,Soft_Skills,interpersonal skills
Ivoclar,Soft_Skills,organizational
Ivoclar,Soft_Skills,flexible
Hyphen Deux Co. Ltd.,Soft_Skills,vietnamese
Hyphen Deux Co. Ltd.,Business,digital
Hyphen Deux Co. Ltd.,Soft_Skills,flexible
SID Global Solutions,Soft_Skills,customer focused
SID Global Solutions,Prod_mgmt.,customer focused
SID Global Solutions,Soft_Skills,documentation
SID Global Solutions,Soft_Skills,project management
PHILIA DX,Soft_Skills,creative
PHILIA DX,Business,digital
AFR Solutions,Business,marketing
AFR Solutions,Soft_Skills,project management
AFR Solutions,Business,strategies
AFR Solutions,Soft_Skills,leadership
AFR Solutions,Analytics,data analysis
AFR Solutions,Analytics,data driven
AFR Solutions,Soft_Skills,dashboards
AFR Solutions,Soft_Skills,time management
AFR Solutions,Soft_Skills,team management
AFR Solutions,Soft_Skills,communication
AFR Solutions,Soft_Skills,communication skills
AFR Solutions,Soft_Skills,problem solving
AFR Solutions,Soft_Skills,team building
FE CREDIT,Coding,go
FE CREDIT,Analytics,business analysis
FE CREDIT,DevOps,databases
FE CREDIT,Business,sdlc
FE CREDIT,Soft_Skills,critical thinking
FE CREDIT,Soft_Skills,communication
FE CREDIT,Soft_Skills,communication skills
FE CREDIT,Soft_Skills,vietnamese
FE CREDIT,Soft_Skills,english
FE CREDIT,Soft_Skills,ownership
DisplaySweet,Soft_Skills,presentation
DisplaySweet,Coding,python
DisplaySweet,Soft_Skills,leadership
DisplaySweet,Soft_Skills,english
MagnetIX,WebD,client
MagnetIX,Soft_Skills,team building
MagnetIX,Soft_Skills,leadership
MagnetIX,Soft_Skills,people management
MagnetIX,Business,strategies
CNAV Business Value,Business,strategies
CNAV Business Value,Soft_Skills,presentation
CNAV Business Value,Soft_Skills,vietnamese
CNAV Business Value,Security_Network,internetworking
CNAV Business Value,Security_Network,firewalls
CNAV Business Value,Security_Network,ips
CNAV Business Value,Soft_Skills,communication
CNAV Business Value,Soft_Skills,english
MaxX DC,Business,digital
MaxX DC,Soft_Skills,project management
MaxX DC,WebD,client
