Company/Candidate Name,Analytics,Business,Coding,DevOps,ML/AI,Marketing,Maths,Prod_mgmt.,Security_Network,Soft_Skills,WebD
2C2P,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ABeam Consulting Vietnam,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0
ACB - Asia Commercial Bank,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ACCA Careers,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
AFR Solutions,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
AIA Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
AIRR Labs,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0
AIT Worldwide Logistics,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
AS White Global,3.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
ASIA INGREDIENTS GROUP,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
ASUS,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
"Acara Solutions, An Aleron Company",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Accenture,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
Adecco,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Adjust,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
Akrivia HCM,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AkzoNobel,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
Alibaba Cloud,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Align Technology,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Aloha Consulting Group,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
Amer Sports,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Amway Vietnam,1.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0
Ant International,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnyMind Group,6.0,61.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,69.0,11.0
Anywr,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
